outcode,postcode,num_meters,total_cons_kwh,mean_cons_kwh,median_cons_kwh,Latitude_Longitude
B65,All postcodes,9786,104906774.9015104,10720.087359647498,9740.190357218216,"(51.3964476, 0.9191186499999999)"
B66,All postcodes,7857,99351022.3449626,12644.905478549395,10888.358714446338,"(55.2019903, -6.5218513)"
B67,All postcodes,11555,147127495.7583569,12732.799286746596,11646.033385161116,"(55.1743848, -6.3378089)"
B68,All postcodes,12574,158406033.44569156,12597.903089366277,11516.4778989283,"(54.9345808, -6.9211672)"
B69,All postcodes,11580,131294277.87182166,11338.020541608088,10162.83081500317,"(55.10936, -6.9511563)"
B7,All postcodes,3259,32588743.8552867,9999.614561303068,8324.530063660046,"(54.3720646, -6.0169835)"
B70,All postcodes,11917,136784805.07233033,11478.124114486056,9698.43361147888,"(55.0214817, -6.7397551)"
B71,All postcodes,12575,137194939.58255497,10910.134360441749,9883.40118774792,"(51.396612000000005, 0.919078312304435)"
B72,All postcodes,3785,62128238.21680184,16414.329779868385,14734.10169062232,"(54.5169584, -7.6844022)"
B73,All postcodes,8712,139892971.4641443,16057.50361158681,14718.275587841685,"(54.6460282, -6.7397617)"
B74,All postcodes,12370,218225534.5571243,17641.51451553147,15097.112923202754,"(54.9017162, -6.9808221)"
B75,All postcodes,10984,152950495.04941505,13924.844778715864,12500.642935425089,"(54.8805124, -6.6373445)"
B76,All postcodes,8316,105410932.49933666,12675.677308722545,11587.180065439205,"(54.4847517, -6.3573037)"
B77,All postcodes,22993,235294951.2620209,10233.32976392906,9393.781132908529,"(55.3503227, -4.696084)"
B78,All postcodes,10351,111235370.14542946,10746.340464247847,9673.705325881614,"(54.2790836, -6.5259616)"
B79,All postcodes,9213,100012073.7760645,10855.53823684625,9537.205189378144,"(54.1667967, -6.341949)"
B8,All postcodes,11807,165318657.40214735,14001.7495894086,12710.338797297927,"(51.41583034999999, 0.8717542000000084)"
B80,All postcodes,2939,32766688.95709578,11148.9244495052,9763.716285455765,"(54.3692746, -7.4698857)"
B9,All postcodes,7302,95813776.24562536,13121.579874777506,11811.781012509911,"(51.415976900000004, 0.8719738999999942)"
B90,All postcodes,20742,254928511.99768975,12290.44990828704,11161.358987448946,"(54.851885, -5.7653803)"
B91,All postcodes,13194,214907695.1056181,16288.289760923,14424.998120646247,"(54.3489118, -6.6390905)"
B92,All postcodes,14579,184009052.02997437,12621.51396048936,11269.174312651336,"(55.1294069, -6.0627443)"
B93,All postcodes,7622,123438185.25209016,16194.986257162183,14568.91674283119,"(54.8512737, -6.3655501)"
B94,All postcodes,1761,32170639.4313423,18268.392635628792,15836.983228287749,"(54.9671774, -6.2905901)"
B95,All postcodes,1522,19424131.792673834,12762.24165090265,10706.108288118498,"(54.7569985, -5.9259069)"
B96,All postcodes,1844,26100704.84334568,14154.39525127206,12377.990638859845,"(54.9567404, -6.49577)"
B97,All postcodes,14349,153422872.0977557,10692.234448237208,9593.585680543683,"(54.9304307, -6.0292974)"
B98,All postcodes,20328,199868028.7695552,9832.154111056434,8696.443479052476,"(54.808083, -6.232683)"
