Lower tier local authorities Code,Accommodation type (5 categories),Observation
E07000029,Whole house or bungalow: Semi-detached,11829
E07000029,Whole house or bungalow: Terraced,9096
E07000029,"Flat, maisonette or apartment",2048
E07000029,A caravan or other mobile or temporary structure,244
E07000030,Whole house or bungalow: Detached,9642
E07000030,Whole house or bungalow: Semi-detached,7623
E07000030,Whole house or bungalow: Terraced,4845
E07000030,"Flat, maisonette or apartment",2367
E07000030,A caravan or other mobile or temporary structure,135
E07000031,Whole house or bungalow: Detached,15108
E07000031,Whole house or bungalow: Semi-detached,14655
E07000031,Whole house or bungalow: Terraced,11042
E07000031,"Flat, maisonette or apartment",6660
E07000031,A caravan or other mobile or temporary structure,192
E07000032,Whole house or bungalow: Detached,20624
E07000032,Whole house or bungalow: Semi-detached,20632
E07000032,Whole house or bungalow: Terraced,11157
E07000032,"Flat, maisonette or apartment",3769
E07000032,A caravan or other mobile or temporary structure,95
E07000033,Whole house or bungalow: Detached,10298
E07000033,Whole house or bungalow: Semi-detached,15809
E07000033,Whole house or bungalow: Terraced,7091
E07000033,"Flat, maisonette or apartment",2021
E07000033,A caravan or other mobile or temporary structure,45
E07000034,Whole house or bungalow: Detached,11874
E07000034,Whole house or bungalow: Semi-detached,21594
E07000034,Whole house or bungalow: Terraced,8564
E07000034,"Flat, maisonette or apartment",5931
E07000034,A caravan or other mobile or temporary structure,95
E07000035,Whole house or bungalow: Detached,13376
E07000035,Whole house or bungalow: Semi-detached,10185
E07000035,Whole house or bungalow: Terraced,5689
E07000035,"Flat, maisonette or apartment",2987
E07000035,A caravan or other mobile or temporary structure,46
E07000036,Whole house or bungalow: Detached,14528
E07000036,Whole house or bungalow: Semi-detached,22457
E07000036,Whole house or bungalow: Terraced,9087
E07000036,"Flat, maisonette or apartment",4186
E07000036,A caravan or other mobile or temporary structure,75
E07000037,Whole house or bungalow: Detached,9765
E07000037,Whole house or bungalow: Semi-detached,12469
E07000037,Whole house or bungalow: Terraced,13482
E07000037,"Flat, maisonette or apartment",4920
E07000037,A caravan or other mobile or temporary structure,136
E07000038,Whole house or bungalow: Detached,16871
E07000038,Whole house or bungalow: Semi-detached,19949
E07000038,Whole house or bungalow: Terraced,5896
E07000038,"Flat, maisonette or apartment",3078
E07000038,A caravan or other mobile or temporary structure,193
E07000039,Whole house or bungalow: Detached,18672
E07000039,Whole house or bungalow: Semi-detached,15770
