Local authority code,Total annual income (£)
E07000128,40200
E07000128,38200
E07000128,43500
E07000128,41800
E07000128,46200
E08000011,35400
E08000011,40000
E08000011,32300
E08000011,32700
E08000011,33600
E08000011,33300
E08000011,33900
E08000011,32100
E08000011,43700
E08000011,29700
E08000011,38000
E08000011,34200
E08000011,34200
E08000011,43800
E08000011,33400
E08000011,46700
E08000011,47600
E08000011,38000
E08000011,41700
E08000011,35600
E08000012,37500
E08000012,33300
E08000012,37300
E08000012,35000
E08000012,34600
E08000012,30900
E08000012,43400
E08000012,32300
E08000012,31400
E08000012,35300
E08000012,33800
E08000012,30600
E08000012,40900
E08000012,30100
E08000012,32400
E08000012,36100
E08000012,33200
E08000012,31200
E08000012,31000
E08000012,34900
E08000012,43700
E08000012,30700
E08000012,29800
E08000012,29100
E08000012,33100
E08000012,37500
E08000012,33900
E08000012,31500
E08000012,32500
E08000012,30400
E08000012,29300
E08000012,37300
E08000012,47600
E08000012,31700
E08000012,49700
E08000012,30700
E08000012,30100
E08000012,28200
E08000012,30600
E08000012,57400
E08000012,42800
E08000012,36600
E08000012,30500
E08000012,31600
E08000012,48800
E08000012,62000
E08000012,40200
E08000012,52700
E08000012,39300
E08000012,39300
E08000012,43800
E08000012,54500
E08000012,42100
E08000012,43300
E08000012,52700
E08000012,35300
E08000012,35100
E08000012,31600
E08000012,40300
E08000012,44800
E08000012,45600
E08000014,38600
E08000014,46000
E08000014,37700
E08000014,33700
E08000014,39400
E08000014,42200
E08000014,38900
E08000014,40700
E08000014,43100
E08000014,43700
E08000014,36900
E08000014,51700
E08000014,54200
E08000014,45600
E08000014,55300
E08000014,43500
E08000014,42100
E08000014,44900
E08000014,42000
E08000014,44100
E08000014,44100
E08000014,50500
E08000014,31300
E08000014,29900
E08000014,47000
E08000014,42900
E08000014,41600
E08000014,43700
E08000014,33900
E08000014,41700
E08000014,34900
E08000014,31700
E08000014,37300
E08000014,30000
E08000014,34900
E08000014,29900
E08000014,28000
E08000014,33500
E08000013,46300
E08000013,42200
E08000013,41400
E08000013,36300
E08000013,35100
E08000013,36700
E08000013,42300
E08000013,34500
E08000013,52600
E08000013,39200
E08000013,32200
E08000013,30100
E08000013,36800
E08000013,30000
E08000013,42400
E08000013,37300
E08000013,33400
E08000013,47500
E08000013,38100
E08000013,35900
E08000013,36800
E08000013,37400
E08000013,49800
E08000015,35100
E08000015,36500
E08000015,42000
E08000015,46200
E08000015,29300
E08000015,39700
E08000015,35400
E08000015,28700
E08000015,31000
E08000015,31000
E08000015,30700
E08000015,35800
E08000015,48600
E08000015,45800
E08000015,40900
E08000015,27700
E08000015,40500
E08000015,41200
E08000015,33500
E08000015,38100
E08000015,29300
E08000015,37100
E08000015,46400
E08000015,42700
E08000015,29100
E08000015,43800
E08000015,30400
E08000015,56300
E08000015,35700
E08000015,43900
E08000015,33500
E08000015,44000
E08000015,46000
E08000015,43900
E08000015,43900
E08000015,41400
E08000015,44400
E08000015,52700
E08000015,39500
E08000015,59900
E08000015,48300
E08000015,39200
E06000011,32600
E06000011,32800
E06000011,23800
E06000011,26500
E06000011,25200
E06000011,38100
E06000011,42100
E06000011,52100
E06000011,38700
E06000011,45400
E06000011,33500
E06000011,52100
E06000011,47300
E06000011,45900
E06000011,55300
E06000011,31000
E06000011,49600
E06000011,41300
E06000011,54400
E06000011,41700
E06000011,49600
E06000011,47000
E06000011,56000
E06000011,39700
E06000011,43700
E06000011,44200
E06000011,59600
E06000011,38800
E06000011,39800
E06000011,55700
E06000011,42200
E06000011,38000
E06000011,59000
E06000011,50100
E06000011,49100
E06000011,40100
E06000011,29500
E06000011,38300
E06000011,32400
E06000011,43500
E06000011,41400
E06000011,46700
E06000011,36600
E06000010,43500
E06000010,26900
E06000010,27900
E06000010,29600
E06000010,38200
E06000010,36500
E06000010,38300
E06000010,29900
E06000010,31200
E06000010,34800
E06000010,32700
E06000010,40000
E06000010,43000
E06000010,43100
E06000010,30400
E06000010,37100
E06000010,26300
E06000010,42000
E06000010,32600
E06000010,33900
E06000010,28300
E06000010,32600
E06000010,33900
E06000010,28700
E06000010,38100
E06000010,33700
E06000010,35400
E06000010,37000
E06000010,29500
E06000010,27500
E06000010,33000
E06000010,33500
E06000012,33200
E06000012,22200
E06000012,26200
E06000012,32300
E06000012,26900
E06000012,26200
E06000012,44700
E06000012,30300
E06000012,32600
E06000012,30000
E06000012,27000
E06000012,33200
E06000012,34000
E06000012,30100
E06000012,28800
E06000012,38800
E06000012,37800
E06000012,29900
E06000012,27000
E06000012,39200
E06000012,40300
E06000012,43200
E06000012,43400
E06000013,36500
E06000013,42200
E06000013,37200
E06000013,39000
E06000013,37100
E06000013,38600
E06000013,34900
E06000013,30700
E06000013,38600
E06000013,31300
E06000013,37700
E06000013,36700
E06000013,40900
E06000013,31600
E06000013,33900
E06000013,31500
E06000013,29700
E06000013,37400
E06000013,42100
E06000013,42400
E06000013,44800
E06000013,42500
E06000013,43500
E06000014,56400
E06000014,47000
E06000014,51900
E06000014,40600
E06000014,42700
E06000014,49500
E06000014,50700
E06000014,45500
E06000014,36600
E06000014,39900
E06000014,57300
E06000014,42400
E06000014,38900
E06000014,47000
E06000014,34700
E06000014,40300
E06000014,49100
E06000014,34000
E06000014,45000
E06000014,52800
E06000014,56800
E06000014,42800
E06000014,44000
E06000014,54900
E07000163,39900
E07000163,47400
E07000163,39800
E07000163,52900
E07000163,41900
E07000163,34800
E07000163,46000
E07000163,40700
E07000164,41300
E07000164,52400
E07000164,44600
E07000164,37200
E07000164,49400
E07000164,44600
E07000164,53000
E07000164,41600
E07000164,43200
E07000164,45000
E07000164,54600
E07000165,46800
E07000165,47600
E07000165,50500
E07000165,39000
E07000165,46100
E07000165,44200
E07000165,56000
E07000165,53500
E07000165,37400
E07000165,42000
E07000165,41000
E07000165,52300
E07000165,37000
E07000165,41100
E07000165,45100
E07000165,55500
E07000165,54500
E07000165,52700
E07000165,52800
E07000165,55600
E07000165,56200
E07000166,50700
E07000166,39500
E07000166,42800
E07000166,45300
E07000166,42900
E07000166,42600
E07000167,39900
E07000167,38700
E07000167,44700
E07000167,38900
E07000167,47700
E07000167,39400
E07000168,34100
E07000168,40800
E07000168,34400
E07000168,41700
E07000168,41200
E07000168,28900
E07000168,30100
E07000168,31900
E07000168,35800
E07000168,32300
E07000168,38200
E07000168,32400
E07000168,44900
E07000168,33500
E07000169,44700
E07000169,57800
E07000169,50300
E07000169,48900
E07000169,35500
E07000169,40100
E07000169,47600
E07000169,45600
E07000169,46200
E07000169,47100
E08000016,36100
E08000016,33000
E08000016,33200
E08000016,38800
E08000016,38300
E08000016,32400
E08000016,27700
E08000016,33100
E08000016,36200
E08000016,36900
E08000016,34500
E08000016,41600
E08000016,34800
E08000016,28400
E08000016,37500
E08000016,54400
E08000016,29000
E08000016,29000
E08000016,38700
E08000016,32800
E08000016,30900
E08000016,31100
E08000016,31200
E08000016,44700
E08000016,32300
E08000016,36400
E08000016,50000
E08000016,36700
E08000016,35100
E08000016,32300
E08000017,31000
E08000017,34000
E08000017,34000
E08000017,29600
E08000017,31700
E08000017,31100
E08000017,39800
E08000017,41700
E08000017,33200
E08000017,29000
E08000017,41300
E08000017,35800
E08000017,32300
E08000017,35000
E08000017,33700
E08000017,39600
E08000017,38700
E08000017,33400
E08000017,36300
E08000017,43000
E08000017,46300
E08000017,29200
E08000017,29500
E08000017,34200
E08000017,46200
E08000017,45600
E08000017,55600
E08000017,38000
E08000017,32700
E08000017,31800
E08000017,28200
E08000017,28100
E08000017,39200
E08000017,32700
E08000017,31000
E08000017,41800
E08000017,31100
E08000017,44300
E08000017,43800
E08000018,38000
E08000018,34600
E08000018,32800
E08000018,32500
E08000018,34900
E08000018,32500
E08000018,44800
E08000018,28900
E08000018,28400
E08000018,29400
E08000018,28500
E08000018,45100
E08000018,25900
E08000018,28200
E08000018,36200
E08000018,28400
E08000018,29500
E08000018,40100
E08000018,37200
E08000018,28600
E08000018,37500
E08000018,44100
E08000018,42600
E08000018,39900
E08000018,36000
E08000018,35000
E08000018,44200
E08000018,41900
E08000018,34100
E08000018,34800
E08000018,42600
E08000018,41300
E08000018,44000
E08000019,36700
E08000019,43100
E08000019,38400
E08000019,43100
E08000019,46800
E08000019,35000
E08000019,30900
E08000019,51400
E08000019,30700
E08000019,31200
E08000019,30200
E08000019,30000
E08000019,27500
E08000019,33600
E08000019,30500
E08000019,44400
E08000019,37400
E08000019,29300
E08000019,31100
E08000019,32100
E08000019,42900
E08000019,28700
E08000019,48900
E08000019,45200
E08000019,35500
E08000019,31000
E08000019,28200
E08000019,46400
E08000019,50200
E08000019,40600
E08000019,36700
E08000019,58400
E08000019,49800
E08000019,35900
E08000019,59700
E08000019,30200
E08000019,32600
E08000019,74400
E08000019,32800
E08000019,31100
E08000019,37400
E08000019,31300
E08000019,57200
E08000019,69400
E08000019,28100
E08000019,30900
E08000019,53900
E08000019,31500
E08000019,34800
E08000019,46000
E08000019,38300
E08000019,75000
E08000019,36700
E08000019,45400
E08000019,27500
E08000019,42700
E08000019,36400
E08000019,48800
E08000019,46700
E08000019,33300
E08000019,58000
E08000019,59600
E08000019,33000
E08000019,25700
E08000019,53400
E08000019,47900
E08000019,48300
E08000019,39200
E08000019,35000
E08000019,36100
E08000032,56800
E08000032,58600
E08000032,56900
E08000032,44000
E08000032,62800
E08000032,46200
E08000032,38300
E08000032,30500
E08000032,29600
