outcode,gas_total_cons_kwh,gas_mean_cons_kwh,gas_median_cons_kwh
EC1N,7513381.456626098,8685.990123267165,6248.438889388356
EC1R,16896076.344930634,9157.76,6633.096544075758
EC1V,36731195.44987701,7734.511570831124,5837.8
EC1Y,11845897.608712293,7525.983232981127,6037.232126565454
EC2A,10706902.231056066,11211.415948749807,7047.852790187758
EC2M,1220037.9619671353,23462.268499367987,20867.52497052145
EC2N,514222.83462226356,39555.60266325104,36932.46882872829
EC2R,536696.5817005272,24395.299168205784,20626.495805992516
EC2V,857951.9919890105,31775.999703296686,30906.73971550559
EC2Y,622673.3303416583,9729.270786588411,5154.412572810195
EC3A,1277657.1864185468,19069.510245052938,10283.847375835516
EC3M,908127.1318678046,27519.003995994077,20612.494111787528
EC3N,1290400.7132337764,11838.538653520884,6641.803658242654
EC3R,1145074.2772198669,16595.27937999807,7323.482100930178
EC3V,751173.4637062805,25902.53323125105,18124.193027356305
EC4A,1574949.3641089005,24999.196255696836,16454.99105391754
EC4M,1204577.7740979216,19428.673775772928,12221.478798934684
EC4N,723337.0520661285,42549.23835683108,46419.616773629605
EC4R,1054870.111000603,24531.863046525654,17216.08314606069
EC4V,1409070.6272804944,11363.472800649148,7388.923857766578
EC4Y,3295302.675058026,15919.336594483217,9602.161861585233
EH1,34301416.93894503,12268.03180935087,9002.355540238379
EH10,216120646.66937175,15476.987014420778,13171.356778889853
EH11,143403383.14071926,7795.780545839591,6404.518766019002
EH12,228741349.0893047,12667.036719974785,10571.022414435438
EH13,79596601.19023292,12819.552454539044,10504.449850336085
EH14,200674576.5027507,11904.524915628563,10107.818733315917
EH15,111678387.36489256,11532.258092202866,9285.621327246943
EH16,154136049.8354005,10303.211887393081,8243.485399083125
EH17,97526983.55251981,10037.771053161776,8998.31
EH18,13367691.980872976,15932.886747166836,13122.3
EH19,73485934.34432547,10963.141033018868,10021.923897048824
EH2,15762892.365907926,16949.346630008524,12498.428140059754
EH20,35421911.00297394,11493.157366312114,9938.833328328246
EH21,124519122.17421614,10015.211306540346,8622.398414270023
EH22,163548985.15717754,10977.915502562595,9754.13
EH23,40469765.87,10237.73485186127,9155.980018220194
EH24,13292272.336753989,12695.580073308489,11309.327166611454
EH25,26315067.30471689,11531.580764556042,10394.329819503842
EH26,87594686.67152214,11609.633753680866,10584.537145489234
EH27,9078199.48,12418.877540891477,11158.162397012855
EH28,17877762.081424102,12253.43528541748,11233.244236217715
EH29,25500145.552910827,11318.306947585808,10325.254527434729
EH3,150063028.9959448,11679.874610518742,8526.293660089377
EH30,52098413.44527448,11167.934286232472,9782.663102782715
EH31,20938005.655293174,14071.240359740037,11449.980478722164
EH32,101019248.69934958,11201.957052489419,9917.810413350155
EH33,68628170.85713033,11464.779628655251,10567.518595269328
EH34,9557927.270693572,13832.022099411826,13020.192009290016
EH35,12022287.392862476,10919.425424943212,10234.155229199714
EH37,5902790.452289261,13600.899659652676,11743.800742809663
EH39,61174724.96162527,14438.216889692063,11835.901132233568
EH4,298338363.0808954,12457.236756478158,10145.058113338597
EH40,11591420.180680888,12965.794385549092,11401.427556036044
EH41,57560367.829806015,11461.64233966667,10105.014465766619
EH42,50673098.061201066,10951.60969552649,9417.264818652915
EH43,4356395.721139378,11256.836488732242,8979.787968886087
EH44,17492130.202860616,11568.869181786122,9858.746033176361
EH45,59505413.16180557,13226.364339143269,11260.273698330418
EH47,150905771.4665482,11921.770537726987,10865.843769710935
EH48,203414572.24589494,11981.773708305056,10756.72483006188
EH49,78200478.46912037,13169.49788971377,11840.406042585315
EH5,99949230.63254654,9490.953435812984,7443.11
EH51,79430260.34056158,11471.730262934949,10370.303630957336
EH52,105730087.75644815,11269.461496104044,9934.328417975757
EH53,67814405.46233112,11586.26438789187,10650.609163990131
EH54,278772932.16708434,11948.094126825148,10798.27011442231
EH55,43478393.11630998,11735.058870798914,10628.860937736332
EH6,162139560.80322474,7869.324442012461,6125.176442324183
EH7,145668125.63595346,8039.967194831298,6302.369582846503
EH8,87972522.67919587,8860.159399657152,7335.996235897668
EH9,123236339.95448563,13871.717689608919,10726.692094384558
EN1,197417703.44665647,12142.056919039083,10936.139114412495
EN10,84317882.91908205,13272.136458221636,11376.628057143718
EN11,99392087.91882132,11808.493277749949,10518.675730060253
EN2,147862853.6411186,12931.857061493667,11326.071939855034
EN3,213474113.80384892,11755.182478185514,10480.132947572009
EN4,156809139.22420698,15723.367013356761,13225.680505362276
EN5,215080748.38102353,14395.338222409713,12153.49037431638
EN6,181497831.14089578,15113.484148629843,13348.817187073926
EN7,110073940.36138101,12983.479636869664,11507.273073110868
EN8,153485545.70519072,10719.761538286823,9533.081720709804
EN9,106818933.99862109,11323.96204798273,9776.852306058383
EX1,82035390.25,8814.375228670808,7225.876205064226
EX10,87055567.95840202,10950.385906717236,9229.560220642195
EX11,35801965.82337334,11198.61301950996,9282.117508083598
EX12,41310089.606691435,9507.500484854185,7970.688049974937
EX13,31491651.408914834,8845.97,7322.982050434712
EX14,54430149.17366686,8956.746614063988,7766.465447336943
EX15,53581596.80713687,8639.406128206525,7358.020242064635
EX16,87301259.77052179,9037.397491772443,7573.573779491946
EX17,37174366.71106934,8990.173327949055,7397.0627984508055
EX18,1203078.6028249625,12936.329062634006,11137.13948203542
EX2,166436389.11224967,8801.501275105747,7288.444404397061
EX20,42439936.98301691,9364.505071274692,7951.166771781122
EX22,1519594.9166209677,10552.742476534499,8777.567548627985
EX23,40703387.76811717,8676.910630594151,6977.605590093687
EX24,14834111.408431664,11229.456024550844,9546.405582084664
EX3,28919915.826570127,11837.869761183023,9496.351022614936
EX31,94102237.27816808,9040.468563566921,7696.389064079493
EX32,76972098.00690094,8869.796958619605,7453.624450652229
EX33,37138740.96797918,10144.42528488915,8823.617743339628
EX34,76273590.63177663,10075.771549772342,8253.529479661971
EX36,24988905.06170446,9227.81,7883.092570902106
EX37,5994089.7109747175,12435.870769657091,10009.910802775057
EX38,21880818.63010402,8851.463847129458,7331.49
EX39,130181485.02043255,8892.785369248757,7417.084622237577
EX4,174932460.67128828,9029.238188876241,7547.727022455378
EX5,49525804.64,10568.887034397694,8868.883897607706
EX6,25214309.885841563,9158.848487410665,7728.42
EX7,50312085.80930522,8661.06,7351.012603737563
EX8,149998371.5,9067.180772472948,7729.4250733286135
EX9,36803724.348216355,11698.577351626305,9476.329198826314
FK1,132859447.58290842,12431.874949275609,10831.806669268335
FK10,182045012.03138438,10639.063294452948,9451.301919092632
FK11,14861196.343513092,11927.123871198308,11196.704407804247
FK12,25783934.09181033,10957.89804156835,9644.51
FK13,31997483.082150523,11235.071306934875,9891.782042425975
FK14,21918304.58504598,17534.643668036784,14903.244536545048
FK15,62681270.400307074,16679.42267171556,14992.842197997148
FK16,9603622.677294657,14102.23594316396,12842
FK17,21141253.644570425,13772.803677244576,11306.915860184916
FK2,251865105.4055582,11560.338982216836,10394.329819500965
FK3,78639850.75224534,9693.066775822179,8384.138711193631
FK4,69060726.93371329,12270.918076352751,11352.87
FK5,111164597.01104593,12508.67525723483,11383.407914624835
FK6,72502489.77854803,11628.306299686934,10633.590613767949
FK7,152448786.29169405,11405.714970200062,10231.65250122553
FK8,70672277.43615688,11120.736024572287,8637.414782113758
FK9,69128644.19891775,14300.505626586211,12314.923266359192
FY1,156976162.00524506,10712.902614157174,8593.407783284782
FY2,112397064.7305214,10521.114362119386,9174.176465089064
FY3,147346875.96391758,10453.84008257663,9178.113879877441
FY4,203799140.0317549,10303.293227085687,8969.923072756008
FY5,224111248.17280525,10790.141943803816,9749.039024703208
FY6,158798188.37243998,12011.965837552192,10377.548860859068
FY7,112314710.65075508,9853.896354689865,8652.220480218608
FY8,252464274.29401335,12586.712249178052,10804.266188926467
G1,21259776.24319539,9183.49,6101.650799371303
G11,88779409.45206428,8523.368803001562,6621.717672264081
G12,143653975.1437183,13085.62353285829,10474.417114656628
G13,136986499.84911433,9976.440160885175,8594.367860969642
G14,71304120.15482712,9337.888967368664,7519.696469150619
G15,62511880.39400803,9047.891213490813,7893.639384790818
G2,12803516.22814465,14434.629344018771,7399.06
G20,111400509.06854819,8659.19,7071.71
G21,90893106.27,8637.565929346774,7487.1610054966795
G22,65627754.13765316,9057.101040250229,7870.078385440748
G23,25662566.111946147,9335.236854109184,8121.852819573156
G3,77877443.71792379,9701.936429291614,6948.573945602032
G31,102333872.72412978,7576.919348743505,6300.189103196344
G32,163846821.3091488,9708.290650539124,8278.670572314042
G33,197034696.51786005,10435.054364890375,9216.05
G34,30435620.66,8304.398543709687,7427.0955341318495
G4,27209613.280689824,8313.355722789436,6326.896316985394
G40,39911195.488704406,7613.7343549607795,6456.037080418099
G41,169955710.7332387,12461.009658570181,9193.020392225175
G42,120240987.68206194,8586.188780495711,6909.030843619424
G43,86767231.06063727,12177.856990966633,9120.941826589864
G44,146612164.45016494,12002.633192809246,10263.18687369024
G45,58225005.780388415,8364.459959831693,7551.611680545387
G46,149027148.90703723,14529.311583020106,11790.852028712421
G5,39883744.59639343,7183.671577160199,5754.772702245985
G51,99294854.83759472,8467.200037315146,6745.352434153264
G52,126882055.24187434,10605.320565185084,9257.920598640756
G53,141545693.37498155,10388.674743117912,9321.160064472775
G60,24986728.02280561,10756.23246784572,9383.227718212807
G61,196760933.42371646,17594.646644345565,15877.306263831464
G62,86763255.91258082,15432.809660722309,13370.073379984775
G63,49964559.877482116,17076.062842611795,14714.038301748806
G64,150300525.85601723,13786.509434600737,12713.85810533252
G65,72228239.02,11212.083052478765,9846.297550102703
G66,221653452.99556696,12704.387745490169,11186.19295031601
G67,155788939.9357524,11035.555708419097,10125.820191432473
G68,110731068.75597322,14339.687743586275,12710.854831768804
G69,185847089.65988186,11732.770811861228,10650.609163989935
G71,177945265.72722352,12945.239759000693,10824.298485349556
G72,262674144.9763073,11518.774994575833,10195.61321840389
G73,161057421.95007017,11172.90474853071,9630.78
G74,195767130.6368281,11837.412663975578,10374.307995715679
G75,209075718.66253138,11946.501266358002,11017.008539309314
G76,132749583.13074307,15306.074383805266,13656.88600574513
G77,173724344.05315295,16603.683843367384,14615.93136518948
G78,123730433.48085545,11396.374088685221,10195.112672816173
G81,160885400.0553477,9295.435639897603,8063.789530589381
G82,131510295.54614353,10619.371410379807,9170.869608115812
G83,112335392.38382624,10541.985021004715,9424.02
G84,115779960.57149859,14117.785705584512,11472.505030483013
GL1,149516945.6796575,10631.938112753856,8696.479162287626
GL10,65009331.61591176,9756.765963666781,8283.028501065417
GL11,79449518.92313986,10545.463090408794,9104.924367561567
GL12,54058001.64,11003.053457358375,9655.524521728832
GL13,18456865.505141962,10085.718855268831,8628.91
GL14,62114277.429704115,10731.561408034575,9265.098957864573
GL15,59244204.66,9563.23,8486.250012514634
GL16,55893815.14277541,10618.125976971012,9232.06
GL17,20952688.710681845,10850.693273268693,9366.209167992936
GL18,24029424.387008343,8946.174380866843,7781.481815178246
GL19,5160668.191395047,13725.181360093211,12052.637374738555
GL2,217430723.66892728,9315.398811915826,8201.940114726754
GL20,103128421.94522965,9704.377711981711,8237.979397544581
GL3,145675998.27198422,9381.504267902126,8545.314392686609
GL4,191822914.09001455,9712.06,8896.7
GL5,143295397.2068576,10992.282694603988,9099.918911616764
GL50,106435065.52702829,10632.873679023805,8175.411198204899
GL51,205851282.85971588,9385.887418371141,8193.931385210577
GL52,226254401.60750556,10818.840032874554,9101.921093992449
GL53,108247108.49097762,12860.533264937343,11376.400276302296
GL54,80909422.56700912,12735.62451865404,10546.495680293088
GL55,37549539.82369049,14266.542486204593,11506.542130922053
GL56,41503408.76302195,11583.424159369788,9254.086954780147
GL6,121379378.02319287,13513.624807748038,11372.896457136667
GL7,178362918.35097057,11910.712410749287,9987.886796607028
GL8,36365837.21045588,11006.609325198511,9092.410727693654
GU1,162305161.42513168,13652.856782060202,11270.424372238056
GU10,160263618.39026365,17611.386636292707,14457.975261446785
GU11,101585699.7139603,10756.639105671358,9230.06
GU12,148955592.08130538,10799.361421105299,9698.548229125274
GU13,4389186.597293048,14929.20611324166,11794.651037881951
GU14,239905553.5606021,11195.368592122923,10060.898549804311
GU15,201528185.1378638,15512.907792923086,13306.254146786716
GU16,123149427.99166244,12774.836928595689,11669.75372026418
GU17,56346621.943171084,12656.473931529894,11399.225142965115
GU18,40348230.48,14752.552277977844,13888.639111191036
GU19,30874569.83,12198.565718110312,10720.458791675825
GU2,138796682.03423354,12127.276717713721,10687.606469750195
GU20,31454381.138798304,17841.39599478066,15500.204817712303
GU21,216934018.41871977,12468.188885494556,10835.163125745281
GU22,187076586.77462938,15474.943070115756,13088.74941915275
GU23,40433805.41594891,14936.758557794205,12814.529848053193
GU24,100777600.45357405,14846.43495191132,12657.97540200674
GU25,47232748.142508015,21676.341506428646,18319.695471030922
GU26,51097318.86773423,17878.697994308688,15002.488073046294
GU27,103768512.25899546,15708.221655918174,12706.450823038815
GU28,13292602.804983152,12399.816049424582,9530.875129381804
GU29,41720666.146716535,11842.369045335377,9621.536444346579
GU3,63988209.37613489,14509.798044475032,12236.674424588238
GU30,48387889.99307666,12855.443675100069,11213.606995039245
GU31,44160801.61260962,11967.696913986347,10332.414457678835
GU32,33460064.639596067,11186.915626745593,9339.159900161474
GU33,32146290.918589942,12812.39175711038,11322.391556881159
GU34,151180320.3716925,12549.20896253777,10488.412688385522
GU35,103626732.73071471,11062.958549238252,9277.95
GU4,89954071.84,15082.842360184726,12754.20154240882
GU46,75740290.53063571,13106.123988689344,12128.368771918524
GU47,91393165.58833343,12429.371085044666,11336.529651512252
GU5,68181870.65984325,18023.23,14740.049818217722
GU51,133241541.51186734,13988.613282085811,12545.022274180204
GU52,89987282.21738066,12923.636682088274,11983.231177529426
GU6,89194708.90918249,13655.038106121017,11463.375234082734
GU7,123956576.19757025,12737.009473650869,10767.356104524133
GU8,78839693.58116099,15097.605051926656,12733.759719835609
GU9,172674178.1,13395.97968132405,11532.514770465199
HA0,210575773.80113143,15017.527727936915,13455.524583122591
HA1,192380742.0595216,14365.348122724134,12070.257470848643
HA2,272324542.1254956,13884.192012108475,12781.124798925344
HA3,360180901.4459672,15710.586297041229,14342.734965880254
HA4,264641991.25170478,13360.359009072334,12143.69
HA5,295837689.0802289,17092.54039058406,15501.7
HA6,165843191.43269432,18732.99349742396,15428.268840730409
HA7,217594505.6539835,17261.185598443877,15338.34886950319
HA8,329928971.7028335,15169.148124268206,13368.618124193865
HA9,215873922.2506473,15271.216910770183,13451.028584561278
HD1,110349918.95324995,13647.03425095844,10798.26435567446
HD2,154574576.6244422,12808.632468051226,10964.306862559308
HD3,164554867.1643565,12096.954139848305,10562.70405223899
HD4,157651160.38258308,12050.077228661858,10515.692017154166
HD5,148633860.85202372,11091.251462728433,9918.539146021023
HD6,141209074.8060979,11709.849473928012,10187.608027652876
HD7,130616787.72078076,12157.184262917048,10611.874215557913
HD8,193484613.80261526,13666.097881241365,11931.054349911095
HD9,197920719.2030635,13447.53,11824.026950896505
HG1,196391367.46486998,12189.893083289056,10140.595992574517
HG2,206974239.38031083,14799.73,12526.206708917178
HG3,141925673.20223984,13621.81334122659,11189.864605337638
HG4,95034882.29243644,11673.612859898838,10017.56449651136
HG5,102111146.56266496,12587.665996383746,10900.79060239533
HP1,118735741.97262423,11604.353202953893,10262.891809910254
HP10,119526919.73402503,15383.129952898975,13458.52191549539
HP11,73415590.14608753,12597.047039479672,10500.154862172893
HP12,103894236.34824099,13395.337332161034,11882.424642070031
HP13,190874195.95273167,12322.414199659888,10997.712036284585
HP14,72181787.93452978,13822.632695237415,12354.46747338066
HP15,99315098.9,14770.240764248098,13626.372528448957
HP16,63390927.88995368,17239.849847689333,14793.83348819602
HP17,59570524.51882616,14006.706917194018,12076.040251493332
HP18,54302706.3,10464.965562441723,8857.342580013012
HP19,97805599.44815211,9944.646613945308,8895.848472401573
HP2,162681336.91423342,10404.280948723037,9151.416902227566
HP20,65829783.01481713,10868.38088407085,9222.65
HP21,137903171.5864975,10781.265857751347,9774.572683330403
HP22,147786099.4837842,12685.502101612377,11071.431392371882
HP23,88018869.62338044,13485.34849446613,11782.078106699844
HP27,65569851.904991634,13433.692256707976,11767.00578180714
HP3,165410575.72964475,12969.30968556098,11197.429146350254
HP4,142788484.40458548,15044.619576923978,12795.202674969967
HP5,128545781.21828175,13215.357378254523,11383.635835778292
HP6,98945626.55271602,17056.649983229792,14801.826374526403
HP7,67572123.12229306,15652.565004005804,13693.812506869333
HP8,54113460.86304857,20653.992695820063,17686.758784681562
HP9,142374501.56945816,20450.230044449607,17457.46285805439
HR1,127351696.60892278,10600.27439728007,9042.639477420595
HR2,92537791.67,8370.673149938904,7404.637839421325
HR3,12050328.770280885,10654.57893039866,8364.21
HR4,106540169.87623903,9899.66,8391.296434774977
HR5,12759976.32949641,10749.769443552157,9041.650345998025
HR6,56284852.03277957,9891.889636692367,8315.13
HR7,19508766.277349286,9764.147285960604,8159.839681578801
HR8,45479473.767357714,10120.043116902028,8941.180950423186
HR9,54286256.08476128,10233.03601974765,8861.659208536657
HS1,18494512.48,11034.911982416168,8986.795607211561
HU1,13696628.031623036,9625.177815617031,6196.586326099711
HU10,118090157.0791356,13166.479772453516,11748.007489918755
HU11,45674628.16433943,11580.788074122574,10406.664106011354
HU12,111404015.91298407,11114.837465128612,9911.537353561289
HU13,84607937.80792889,11575.856862488561,9957.55
HU14,60737966.44363666,16375.83349787993,14222.640996096157
HU15,122360863.83755922,12249.560900746743,10611.716599449514
HU16,91571390.62105432,11973.246681623212,10556.702515842073
HU17,221684425.4,11275.338255568486,9955.55
HU18,47363330.255708136,11879.44074635268,10414.666154535884
HU19,31893579.654068686,10560.787964923406,9089.578447233898
HU2,16859801.764573246,9397.882811913738,7477.635486805812
HU3,131288877.80070987,10165.611908688337,8275.118430316737
HU4,105786174.60255332,10107.603153311038,9183.85
HU5,245972362.8840082,11077.84015871051,9326.387555212264
HU6,142837409.3459856,10363.303297249191,9144.340951281967
HU7,181238120.3711499,9069.161347635603,8313.628288838252
HU8,149500717.07081822,9799.47,8857.267460468262
HU9,172932712.74548233,9268.058992737142,8424.156584084223
HX1,119882750.68685453,13752.75331958868,11503.94500992107
HX2,189413171.0239928,12019.364872389924,10573.963787523604
HX3,248888901.52791727,12056.234330939607,10393.16
