outcode,elec_total_cons_kwh,elec_mean_cons_kwh,elec_median_cons_kwh
EH41,25015838.35095118,3655.148794703562,2622.6999999996647
EH42,21301675.556048814,3488.6465044298748,2618.5999999997425
EH43,1298542.7609999997,2905.0173624161066,2102.0999999999844
EH44,5398308.956999996,2994.0704143094817,2295.328000000096
EH45,18247718.481999964,3253.2926514530154,2446.8000000002094
EH46,9513519.419000005,5765.769344848488,4487.099999999876
EH47,37780204.14299999,2855.430741667296,2341.1000000005406
EH48,53118317.291999884,2942.5170226013674,2391.5
EH49,26214282.983000018,3470.2519172623797,2675.100000000035
EH5,29529363.457999937,2622.035469543592,2066.3999999997736
EH51,20927769.245999977,2844.2197942375615,2321
EH52,28512396.03099999,2888.501269476242,2360.5
EH53,16964313.438999977,2883.6160868604416,2358
EH54,72551176.40800028,2971.5820769199377,2490.3999999989937
EH55,13743588.897000033,3233.024911079754,2504
EH6,63789523.92100021,2490.999840713848,1854.899999999129
EH7,51108688.84695105,2360.242396183202,1780.5
EH8,35238426.49300008,2758.821458780246,2054.800000000465
EH9,34452769.85597558,3295.9695643332616,2400.399999999682
EN1,63201276.83400002,3388.990124617943,2661.2
EN10,29737926.158000007,3975.1271431626797,3040.3000000004213
EN11,35135934.46200001,3656.5651433031544,2855.300000000477
EN2,49980962.941999935,3684.824752432906,2726.6999999997993
EN3,74737635.59100075,3441.910085244577,2672.5
EN4,44015520.04,3943.3363229708025,2871.8999999994276
EN5,62041441.597000204,3725.7651691688807,2699.700000000363
EN6,49142598.35699999,3833.874111171789,2922.8999999992952
EN7,31762973.533999898,3632.5450061756515,2882.699999999547
EN8,54475826.23499963,3312.4058272528046,2574
EN9,37523720.19500001,3506.2343669407596,2625.800000000483
EX1,35188699.42099692,2796.0825920537877,2207.3999999995685
EX10,28618788.88,3116.1573261106273,2339.6999999995974
EX11,15017101.596999973,3673.46,2734.5
EX12,17361798.96500001,3125.4363573357355,2253.800000000158
EX13,24527583.86,3830.6393652975166,2666.4000000002325
EX14,41141069.03399994,4030.277138910653,2762.699999999516
EX15,39386326.850000106,3940.2087685074134,2860.300000000488
EX16,56463654.12500005,3788.4899439747755,2695.2000000000517
EX17,37777786.94709772,4186.368234385829,3018.6000000004105
EX18,7696946.632000001,5107.46,3964.299999999891
EX19,7847065.373999991,4564.901322862124,3309.2999999998947
EX2,60153665.524000004,2913.9982330087682,2262.8999999991397
EX20,41486898.96999993,4137.518596788664,2975.8000000004986
EX21,9511307.388000002,4925.586425686174,3608.7999999998797
EX22,24648541.763000004,4809.471563512196,3562.199999999658
EX23,32501743.094000064,3873.866876519674,2736.800000000425
EX24,6470571.8,3580.8366369673436,2532.2999999999142
EX3,9135769.62,3336.658005113225,2382.799999999884
EX31,43153723.76499988,3307.0521698980674,2498.3000000005195
EX32,35398279.80700002,3311.345164359216,2565.399999999582
EX33,18596021.042999994,3577.5338674490176,2591.5
EX34,28567400.687999986,3225.039589975162,2368.800000000395
EX35,5412415.676999999,5407.008668331668,3902.899999999936
EX36,17481141.79200003,3972.9867709090977,2810.599999999776
EX37,7614145.545999998,4776.75,3344.400000000028
EX38,12996580.26,3471.308829326923,2597.4000000001834
EX39,67019518.45100016,3390.4749557849022,2489.399999999108
EX4,71507173.72,3124.084657171563,2428.7000000008643
EX5,43020380.966000006,3742.204328983995,2643.6000000005224
EX6,30351751.98999996,4458.247942126904,3144.1999999995987
EX7,23464429.972000007,3135.698245623414,2384.699999999667
EX8,53341527.02597551,2948.837803415087,2315.5
EX9,11909640.717000013,3217.9520986219977,2399
FK1,48147220.89899983,3207.889992604426,2392.399999999329
FK10,51423289.51799996,2832.6148241709793,2339.2
FK11,3486116.141999998,2797.846020866772,2393.200000000032
FK12,7107922.434000006,2707.779974857145,2209.0999999999444
FK13,8749389.459999993,2789.9838839285694,2275.2000000001217
FK14,9062564.123000002,4586.317876012146,3182.1
FK15,18904754.084000003,3958.281843383585,3034.099999999755
FK16,4538722.637000001,3998.8745700440536,2902.2999999999533
FK17,6594236.144999993,3430.924112903222,2510
FK18,658080.9349999999,4358.151887417218,3286.400000000009
FK19,2204635.5450000004,5377.1598658536595,3279.300000000025
FK2,68878083.98300016,2908.211618941064,2384.600000000969
FK20,1408760.9820000005,6151.79,4147.099999999984
FK21,3454415.3529999997,4899.879933333333,3384
FK3,23714553.919999965,2640.2308973502522,2100
FK4,17421955.62,2996.552393532852,2491.5
FK5,27106390.329000007,2947.3078535391983,2440.1
FK6,19305292.118000038,2913.5665738001867,2369.3000000002767
FK7,42773328.11599989,2943.9967042466715,2335.5
FK8,37990130.80500006,3706.715855693244,2477.899999999668
FK9,19318381.624000017,3549.867994119812,2572.7
FY1,51689999.02700001,3363.4824978526817,2560.6999999999907
FY2,34499477.27100007,3088.030546992488,2440.6000000004115
FY3,44884544.00100017,3055.864923815371,2499.6000000006893
FY4,63571619.47799975,3084.8029638004537,2442.299999999357
FY5,65757887.73800003,3035.913561311174,2443.299999999243
FY6,45474395.01800002,3327.3136034243084,2552.8000000003917
FY7,35313087.50699988,2969.98,2434
FY8,80741551.42099962,3460.9949599639767,2605.2999999989556
G1,17190105.562000014,3451.8284261044205,2253.599999999791
G11,29323952.89900004,2326.9284953975593,1765
G12,38141865.508000046,2944.8629947498493,2161.8999999995604
G13,46181022.71500008,2730.020259813199,2130.1999999997156
G14,24589249.98599993,2585.076743692171,2023.8000000003633
G15,21190292.588024467,2667.123044433539,2209.0999999998144
G2,6916476.321000009,4051.8314710017626,2661.6000000000317
G20,44196227.14499999,2550.5671251731296,1909
G21,36140996.293999925,2698.0960279208603,2099.3000000004836
G22,24368064.021902382,2666.67,2101.3000000003617
G23,10617286.032000002,3033.5102948571434,2309.599999999855
G3,29234080.806975577,2817.471164897415,1997.8000000003904
G31,31043390.557999928,2132.686902857923,1706.6000000003062
G32,49464665.10999993,2584.4957996760504,2050.199999999982
G33,56113934.64099982,2773.112658314792,2295
G34,10109989.940999987,2480.3704467615275,2034.5
G4,20190400.167999975,3056.3730196790757,2193.9000000002457
G40,20252182.28099999,2658.1155376033585,1926
G41,44550495.06,2792.9593790984827,2026.8000000005177
G42,35154385.664024495,2264.372667570016,1753.9
G43,26231587.475000024,2877.22,2171.3000000003735
G44,36493389.04800009,2720.1393148479497,2207.1999999995032
G45,18012017.31,2391.08,2012.3
G46,38182398.87399996,3249.565861617018,2526.699999999503
G5,18845965.88799997,2395.8766702262865,1748.8000000002105
G51,33103218.211999964,2452.2718876953822,1856
G52,38177804.22799994,2654.1854997219093,2185
G53,39508358.497975655,2766.4980392112357,2340.5
G60,6695331.201999997,2680.2767021617283,2240.400000000044
G61,43016072.86299988,3598.767912908883,2913.6999999996024
G62,20511988.223000046,3328.7874428756973,2610.4000000002584
G63,21669376.500000007,4947.346232876714,3364.099999999752
G64,35484299.25599996,3050.5759332874795,2531.399999999509
G65,18622698.52499999,2782,2215.4000000002484
G66,55541583.667000175,2962.06,2423.7000000003914
G67,48734153.458999924,3007.5384756232984,2357.4
G68,25474130.40400006,3286.984568258072,2744.1000000001072
G69,45467648.48000007,2803.0114345601423,2354.3
G71,44554031.04300001,3100.92,2446.800000000366
G72,68581404.64899972,2853.3973226128446,2379
G73,42911065.62799992,2674.419796073538,2163.5
G74,55783308.47600004,2953.3729603981387,2292.1000000008107
G75,53907866.50200008,2896.8706809608298,2355.2999999997037
G76,30354223.28300003,3245.3996881214616,2675.1999999995487
G77,43078447.82599988,3707.5865243136136,2958
G78,31681813.030000016,2764.0737244808947,2264.6000000003573
G79,70082.7,4122.511764705882,3627.099999999999
G81,50271108.63,2557.15,2080.899999999229
G82,35204415.54599997,2696.42,2203.5
G83,34017063.57599994,2857.856303116856,2228.8999999996186
G84,36433602.42499991,3464.917016167371,2632.899999999572
GL1,56832578.19199992,3273.577454754906,2500.6000000008125
GL10,24480716.22000002,3323.474914471901,2562
GL11,32680797.65,3641.720263544551,2770.8999999996927
GL12,27357722.592000015,3964.3127940878157,2896.3999999999814
GL13,11367080.767999997,4018.056121597737,2861.5
GL14,25872979.701999996,3606.4928494563696,2670.9000000000447
GL15,39165755.921000056,3781.208333751695,2749.6000000004574
GL16,23124456.74700003,3467.9749170665914,2618.800000000324
GL17,22564659.632999986,4360.320702028983,3149
GL18,15353240.69,3752.0138538611923,2659.099999999796
GL19,20125525.69,5369.670676093916,3749.8000000002216
GL2,89094048.35899991,3354.0657440424616,2627.600000000782
GL20,46978257.352000035,3502.4422092000323,2608.6000000006493
GL3,49473376.42399987,3068.687285944664,2457.600000000748
GL4,66521977.974999934,3209.590754366493,2589.200000000788
GL5,49095439.23900005,3374.4889160079765,2546.6000000006966
